	Month of Period End
Bella Vista, AR	192
Bella Vista, CA	
Bellair-Meadowbrook Terrace, FL	175
Bellaire, OH	20
Bellaire, TX	291
Bellbrook, OH	160
Belle Center, OH	
Belle Chasse, LA	195
Belle Fontaine, AL	
Belle Glade, FL	148
Belle Haven, VA	345
Belle Isle, FL	222
Belle Mead, NJ	321
Belle Meade, TN	752
Belle Plaine, IA	90
Belle Plaine, KS	121
Belle Plaine, MN	148
Belle Rive, IL	
Belle Rose, LA	96
Belle Terre, NY	
Belle Vernon, PA	
Belleair Beach, FL	457
Belleair Bluffs, FL	280
Belleair Shore, FL	
Belleair, FL	432
Bellechester, MN	
Bellefontaine Neighbors, MO	88
Bellefontaine, OH	185
Bellefonte, AR	
Bellefonte, DE	179
Bellefonte, KY	82
Bellefonte, PA	159
Bellemeade, KY	129
Bellemont, AZ	329
Belleplain, NJ	251
Bellerive Acres, MO	
Bellerive, MO	
Bellerose Terrace, NY	
Bellerose, NY	482
Belleview, FL	163
Belleview, KY	
Belleville, AR	
Belleville, IL	105
Belleville, MI	184
Belleville, NY	
Belleville, PA	72
Belleville, WI	210
Bellevue, ID	305
Bellevue, IL	101
Bellevue, KY	157
Bellevue, MI	112
Bellevue, NE	136
Bellevue, OH	108
Bellevue, PA	119
Bellevue, TX	
Bellevue, WA	631
Bellevue, WI	220
Bellewood, KY	
Bellflower, CA	652
Bellflower, IL	
Bellfountain, OR	
Bellingham, MA	332
Bellingham, WA	387
Bellmawr, NJ	176
Bellmead, TX	25
Bellmont, NY	
Bellmore, NY	341
Bellport, NY	522
Bells, TN	141
Bells, TX	261
Bellview, FL	146
Bellville, OH	107
Bellville, TX	177
Bellvue, CO	357
Bellwood, IL	182
Bellwood, PA	117
Bellwood, VA	229
Belmar, NJ	743
Belmont Estates, VA	
Belmont, CA	1,097
Belmont, MA	582
Belmont, NC	231
Belmont, NH	122
Belmont, OH	136
Belmont, PA	77
Belmont, VA	250
Beloit, OH	
Beloit, WI	124
Belpre, OH	103
Belspring, VA	
Belt, MT	
Belterra, TX	258
Belton, MO	159
Belton, SC	160
Belton, TX	163
Beltsville, MD	210
Belvedere Park, GA	243
Belvedere Tiburon, CA	1,316
Belvedere, CA	1,334
Belvedere, SC	143
Belvidere, IL	116
Belvidere, NJ	177
Belvidere, TN	
Belview, VA	
Belville, NC	
Belvoir, NC	
Belvue, KS	
Belwood, NC	180
Bement, IL	12
Bemidji, MN	173
Bemiss, GA	146
Bemus Point, NY	176
Ben Avon Heights, PA	
Ben Avon, PA	208
Ben Avon, SC	163
Ben Bolt, TX	
Ben Lomond, CA	874
Bena, MN	
Benavides, TX	
Benbow, CA	
Benbrook, TX	177
Bend, CA	
Bend, OR	373
Bendersville, PA	
Benedict, MD	
Benicia, CA	455
Benjamin, UT	
Benld, IL	48
Bennet, NE	136
Bennett Springs, MO	
Bennett, CO	276
Bennett, NC	
Bennettsville, SC	
Bennington, KS	128
Bennington, NE	153
Bennington, NH	
Bennington, OK	
Bennington, VT	180
Benns Church, VA	148
Bensalem, PA	237
Bensenville, IL	182
Bensley, VA	179
Benson, AZ	153
Benson, IL	
Benson, NC	184
Benson, PA	
Benson, UT	
Benson, VT	
Bensville, MD	178
Bent Creek, NC	203
Bent, NM	
Bentley, IA	
Bentley, IL	
Bentley, KS	117
Bentleyville, OH	
Bentleyville, PA	76
Benton City, MO	
Benton City, WA	252
Benton Harbor, MI	109
Benton Heights, MI	100
Benton Park, CA	171
Benton Ridge, OH	
Benton, AR	133
Benton, KS	
Benton, LA	140
Benton, MO	130
Benton, MS	
Benton, NY	127
Benton, PA	38
Benton, TN	107
Bentonia, MS	
Bentonville, AR	201
Benzonia, MI	
Berea, KY	145
Berea, OH	151
Berea, SC	178
Beresford, SD	143
Bergen, NY	
Bergenfield, NJ	338
Berger, MO	
Bergholz, OH	
Bergman, AR	
Berino, NM	
Berkeley Lake, GA	
Berkeley, CA	841
Berkeley, IL	271
Berkeley, MO	118
Berkey, OH	
Berkley, CO	281
Berkley, IA	
Berkley, MA	266
Berkley, MI	270
Berkshire Lakes, FL	261
Berkshire, NY	
Berlin Heights, OH	
Berlin, AL	
Berlin, GA	
Berlin, IL	
Berlin, MA	318
Berlin, NH	112
Berlin, NJ	170
Berlin, NY	184
Berlin, PA	
Bermuda Dunes, CA	295
Bermuda Run, NC	157
Bernard, IA	
Bernardston, MA	
Bernardsville, NJ	333
Berne, IN	95
Berne, NY	194
Bernice, LA	63
Bernville, PA	114
Berrien Springs, MI	130
Berry Creek, CA	
Berry Hill, TN	426
Berrydale, FL	
Berrysburg, PA	
Berryville, TX	
Berryville, VA	217
Berthoud, CO	234
Bertram, IA	
Bertsch-Oceanview, CA	166
Berwick, LA	
Berwick, ME	208
Berwick, PA	98
Berwyn Heights, MD	442
Berwyn, IL	191
Berwyn, PA	384
Beryl Junction, UT	
Bessemer City, NC	163
Bessemer, AL	100
Bessemer, PA	50
Bethalto, IL	113
Bethania, NC	
Bethany, IN	
Bethany, NY	255
Bethany, OK	131
Bethany, OR	333
Bethel Acres, OK	165
Bethel Heights, AR	182
Bethel Island, CA	437
Bethel Manor, VA	144
Bethel Park, PA	170
Bethel, CT	236
Bethel, MN	188
Bethel, NC	135
Bethel, OH	181
Bethel, PA	211
Bethel, VT	183
Bethel, WA	213
Bethesda, AR	151
Bethesda, MD	466
Bethesda, OH	44
Bethlehem Village, CT	193
Bethlehem, GA	189
Bethlehem, MS	
Bethlehem, NC	185
Bethlehem, NH	170
Bethlehem, NY	197
Bethlehem, PA	181
Bethpage, NY	458
Bethpage, TN	
Bettendorf, IA	139
Bettsville, OH	
Between, GA	
Beulah Beach, OH	
Beulah Valley, CO	
Beulah, MI	
Beurys Lake, PA	
Beverly Beach, FL	361
Beverly Hills, CA	1,114
Beverly Hills, FL	161
Beverly Hills, MI	213
Beverly Hills, MO	44
Beverly Hills, TX	
Beverly Shores, IN	
Beverly, IL	
Beverly, MA	369
Beverly, NJ	136
Beverly, OH	
Beverly, WA	
Bevil Oaks, TX	136
Bevington, IA	
Bexley, OH	258
Beyerville, AZ	
Bibo, NM	
Bicknell, IN	54
Biddeford, ME	236
Bidwell, OH	
Bieber, CA	
Bier, MD	
Big Bass Lake, PA	211
Big Bay, MI	
Big Bear City, CA	355
Big Bear Lake, CA	457
Big Beaver, PA	62
Big Bend, CA	
Big Bend, WI	
Big Coppitt Key, FL	669
Big Creek, CA	
Big Flat, AR	
Big Flats, NY	125
Big Foot Prairie, IL	
Big Foot Prairie, WI	175
Big Island, VA	
Big Lagoon, CA	
Big Lake, AK	
Big Lake, MN	172
Big Lake, WA	300
Big Pine Key, FL	668
Big Point, MS	150
Big Pool, MD	
Big Rapids, MI	143
Big River, CA	
Big Rock, IA	
Big Rock, IL	
Big Rock, TN	
Big Sandy, TX	75
Big Sky, MT	1,228
Big Spring, MD	
Big Spring, TX	
Big Stone Gap East, VA	21
Big Stone Gap, VA	63
Big Thicket Lake Estates, TX	
Bigelow Corners, CT	
Bigelow, AR	
Bigelow, MN	
Bigfoot, TX	
Bigfork, MN	
Bigfork, MT	
Biggs, CA	222
Biggsville, IL	
Bigler, PA	
Biglerville, PA	145
Billerica, MA	367
Billings, MO	159
Billings, MT	181
Billingsley, AL	
Billington Heights, NY	
Biloxi, MS	127
Biltmore Forest, NC	385
Biltmore, TN	
Bingham Farms, MI	250
Binghamton, NY	79
Biola, CA	
Birch Bay, WA	354
Birch Run, MI	169
Birchwood Lakes, PA	192
Birchwood Village, MN	175
Bird-in-Hand, PA	
Birds Landing, CA	
Birdsboro, PA	130
Birdseye, IN	
Birmingham, AL	123
Birmingham, MI	340
Birmingham, MO	
Birmingham, OH	
Birnamwood, WI	
Biron, WI	92
Bisbee, AZ	184
Biscay, MN	
Biscayne Park, FL	310
Bishop Hill, IL	
Bishop Hills, TX	
Bismarck, AR	
Bismarck, IL	
Bismarck, MO	50
Bithlo, FL	229
Bixby, OK	150
Bixby, TX	
Black Brook, NY	367
Black Butte Ranch, OR	
Black Canyon City, AZ	
Black Creek, NC	143
Black Creek, WI	210
Black Diamond, FL	199
Black Diamond, WA	324
Black Eagle, MT	56
Black Earth, WI	197
Black Forest, CO	
Black Hammock, FL	
Black Hawk, CO	151
Black Jack, MO	104
Black Lick, PA	168
Black Mountain, NC	269
Black Oak, AR	
Black Point-Green Point, CA	
Black River, NY	132
Black Sands, HI	234
Black, AL	
Blackburn, MO	41
Blackburn, OK	
Blackduck, MN	99
Blackfoot, ID	193
Blackgum, OK	59
Blackhawk, CA	649
Blackhawk, SD	134
Blacklake, CA	
Blacklick Estates, OH	176
Blacksburg, SC	106
Blacksburg, VA	204
Blackshear, GA	105
Blackstone, MA	230
Blackwater, MO	
Blackwell, OK	12
Blackwell, TX	
Blackwells Mills, NJ	394
Blackwood, NJ	188
Bladensburg, MD	76
Bladensburg, OH	
Blain, PA	
Blaine-Birch Bay, WA	340
Blaine, MN	194
Blaine, OH	
Blaine, TN	206
Blaine, WA	336
Blair, NE	139
Blair, OK	95
Blairs, VA	
Blairstown, IA	69
Blairstown, NJ	175
Blairsville, IL	
Blairsville, PA	102
Blakely, PA	115
Blakesburg, IA	66
Blanchard, ID	326
Blanchard, LA	161
Blanchard, OK	167
Blanchard, PA	
Blanchester, OH	156
Blanco, OK	
Bland, VA	
Blandburg, PA	
Blandford, MA	
Blandinsville, IL	
Blandon, PA	155
Blandville, KY	
Blanford, IN	
Blanket, TX	
Blasdell, NY	122
Blauvelt, NY	444
Blawenburg, NJ	
Blawnox, PA	
Bleecker, NY	
Blende, CO	
Blenheim, NY	
Blenheim, SC	
Blessing, TX	
Blevins, AR	
Bliss Corner, MA	325
Blissfield, MI	
Blodgett Landing, NH	
Blodgett Mills, NY	
Blodgett, OR	
Blomkest, MN	
Bloomdale, OH	
Bloomer, WI	
Bloomfield Hills, MI	227
Bloomfield, CA	
Bloomfield, KY	152
Bloomfield, NM	
Bloomfield, NY	71
Bloomfield, PA	
Bloomfield, WI	207
Blooming Grove, NY	254
Blooming Grove, TX	97
Blooming Prairie, MN	132
Blooming Valley, PA	
Bloomingburg, OH	185
Bloomingdale, FL	210
Bloomingdale, GA	184
Bloomingdale, IL	187
Bloomingdale, IN	
Bloomingdale, NJ	288
Bloomingdale, OH	
Bloomingdale, TN	151
Bloomington, CA	328
Bloomington, IL	112
Bloomington, IN	181
Bloomington, MN	184
Bloomington, TX	
Bloomington, WI	
Bloomingville, OH	
Bloomsburg, PA	121
Bloomsbury, NJ	196
Bloomville, OH	
Blossom, TX	
Blountsville, AL	82
Blountsville, IN	
Blountville, TN	131
Blowing Rock, NC	292
Blucksberg Mountain, SD	177
Blue Ash, OH	211
Blue Ball, PA	
Blue Bell, PA	250
Blue Clay Farms, NC	183
Blue Diamond, NV	
Blue Grass, IA	164
Blue Hills, CT	129
Blue Island, IL	156
Blue Jay, OH	
Blue Knob, PA	
Blue Lake, CA	
Blue Mound, IL	52
Blue Mound, KS	
Blue Mound, TX	197
Blue Mounds, WI	
Blue Point, NY	367
Blue Ridge Manor, KY	164
Blue Ridge Summit, PA	
Blue Ridge, AL	95
Blue Ridge, AZ	315
Blue Ridge, TX	189
Blue Ridge, VA	113
Blue River, CO	617
Blue River, WI	72
Blue Sky, CO	
Blue Springs, MO	159
Blue Springs, NE	
Blue Summit, MO	
Blue Valley, CO	
Blue, OK	
Bluefield, VA	28
Bluewater Acres, NM	
Bluewater Village, NM	
Bluewater, NM	
Bluff City, TN	146
Bluff Dale, TX	
Bluffdale, UT	233
Bluffs, IL	
Bluffton, IN	101
Bluffton, MN	
Bluffton, OH	122
Bluffton, SC	244
Bluffview, WI	
Bluford, IL	
Blunt, SD	
Bly, OR	
Blyn, WA	
Blythe, CA	173
Blythe, GA	147
Blytheville, AR	95
Boalsburg, PA	192
Boardman, OH	107
Boardman, OR	224
Boaz, AL	92
Boca Raton, FL	330
Bock, MN	
Bodega Bay, CA	712
Bodega, CA	
Bodfish, CA	163
Boerne, TX	217
Bogalusa, LA	53
Bogota, NJ	264
Bogota, TN	
Bogue Chitto, MS	
Bogue, NC	
Bogus Hill, CT	
Bohemia, NY	367
Bohners Lake, WI	192
Boiling Spring Lakes, NC	203
Boiling Springs, NC	157
Boiling Springs, PA	190
Boiling Springs, SC	166
Boise, ID	295
Boissevain, VA	
Bokchito, OK	
Bokeelia, FL	355
Bolckow, MO	
Boles Acres, NM	
Boligee, AL	
Bolinas, CA	
Bolindale, OH	55
Boling, TX	
Bolingbroke, GA	130
Bolingbrook, IL	178
Bolivar Peninsula, TX	370
Bolivar, MO	150
Bolivar, OH	139
Bolivar, PA	
Bolivar, WV	
Bolivia, NC	160
Bolton Landing, NY	329
Bolton Ma, MA	285
Bolton Valley, VT	
Bolton, MS	
Bolton, NY	207
Bolton, OH	
Bolton, VT	
Bombay Beach, CA	
Bombay, NY	
Bon Air, AL	
Bon Air, VA	205
Bon Secour, AL	
Bonadelle Ranchos-Madera Ranchos, CA	285
Bonadelle Ranchos, CA	294
Bonanza Mountain Estates, CO	418
Bonanza, AR	
Bonanza, GA	151
Bonanza, OR	
Bond, MS	
Bondsville, MA	
Bonduel, WI	
Bondurant, IA	234
Bondville, IL	
Bonfield, IL	
Bonham, TX	151
Bonita Springs, FL	341
Bonita, CA	434
Bonne Terre, MO	137
Bonneau Beach, SC	191
Bonneau, SC	304
Bonneauville, PA	169
Bonner Springs, KS	205
Bonner-West Riverside, MT	
Bonney Lake, WA	294
Bonney, TX	
Bonnie Brae, IL	185
Bonnie, IL	
Bonny Doon, CA	537
Bono, AR	112
Bonsall, CA	356
Boody, IL	
Boon, MI	
Boone, CO	
Boone, IA	114
Boone, NC	271
Boones Mill, VA	
Booneville, MS	
Boonsboro, MD	167
Boonton, NJ	327
Boonville, CA	
Boonville, IN	112
Boonville, MO	127
Boonville, NC	172
Boonville, NY	
Boothville, LA	32
Boothwyn, PA	197
Borden, IN	168
Bordentown, NJ	259
Borger, TX	98
Boring, OR	
Boron, CA	173
Boronda, CA	
Borrego Springs, CA	226
Boscobel, WI	89
Bossier City, LA	139
Bostic, NC	205
Boston Heights, OH	
Boston, GA	
Boston, IN	
Boston, KY	
Boston, MA	659
Boston, NY	161
Boston, PA	
Bostonia, CA	473
Bostwick, GA	74
Boswell, IN	67
Boswell, PA	72
Boswell's Corner, VA	
Bothell East, WA	477
Bothell West, WA	446
Bothell, WA	457
Botines, TX	
Botkins, OH	142
Botsford, CT	
Boulder Canyon, SD	561
Boulder City, NV	257
Boulder Creek, CA	606
Boulder Hill, IL	194
Boulder, CO	559
Boulder, MT	
Boulevard Gardens, FL	
Boulevard Park, WA	241
Boulevard, CA	
Bound Brook, NJ	338
Bountiful, UT	220
Bourbon, IN	
Bourbonnais, IL	134
Bourg, LA	158
Bourne, MA	387
Bourneville, OH	
Bouton, IA	
Boutte, LA	
Bovey, MN	53
Bovill, ID	
Bovina, MS	
Bow Mar, CO	480
Bow, WA	
Bowdle, SD	74
Bowdoinham, ME	272
Bowdon, GA	106
Bowen, IL	
Bowers, DE	
Bowers, PA	
Bowersville, OH	
Bowie, AZ	
Bowie, MD	244
Bowler, WI	
Bowles, CA	
Bowleys Quarters, MD	192
Bowling Green, FL	145
Bowling Green, KY	159
Bowling Green, MD	60
Bowling Green, OH	160
Bowman, AR	
Bowman, SC	101
Bowman, TN	
Bowmans Addition, MD	29
Bowmanstown, PA	131
Bowmansville, PA	215
Box Canyon, TX	
Box Elder, SD	192
Box, OK	80
Boxborough, MA	323
Boxford, MA	304
Boxholm, IA	
Boy River, MN	
Boyce, LA	
Boyce, VA	213
Boyceville, WI	195
Boyd, MT	
Boyd, TX	188
Boyd, WI	
Boyertown, PA	137
Boyes Hot Springs, CA	664
Boykins, VA	118
Boylston, MA	264
Boylston, NY	
Boynton Beach, FL	245
Boynton, OK	
Bozeman, MT	367
Braceville, IL	136
Brackenridge, PA	104
Bradbury, CA	
Braddock Heights, MD	221
Braddock Hills, PA	
Braddock, PA	
Braddock, VA	277
Braden, TN	
Bradenton Beach, FL	830
Bradenton, FL	267
Bradenville, PA	
Bradford Woods, PA	170
Bradford, AR	83
Bradford, IL	
Bradford, NH	328
Bradford, NY	
Bradford, OH	134
Bradford, PA	53
Bradford, RI	159
Bradford, TN	
Bradford, VT	129
Bradfordville, FL	216
Bradley Beach, NJ	575
Bradley Gardens, NJ	323
Bradley Junction, FL	138
Bradley, CA	
Bradley, IL	143
Bradley, ME	
Bradley, OK	
Bradley, SC	
Bradner, OH	34
Brady Lake, OH	136
Brady, NE	
Brady, WA	278
Braggs, OK	
Braham, MN	151
Braidwood, IL	174
Brainards, NJ	156
Brainerd, MN	173
Braintree Town, MA	411
Braintree, MA	411
Braman, OK	
Brambleton, VA	251
Branch, AR	
Branch, LA	
Branchdale, PA	
Branchville, CT	
Branchville, NJ	149
Branchville, SC	
Branchville, VA	
Brandenburg, KY	160
Brandermill, VA	193
Brandon, FL	212
Brandon, MN	
Brandon, MS	148
Brandon, NY	
Brandon, SD	155
Brandon, VT	263
Brandon, WI	154
Brandonville, PA	
Brandsville, MO	
Brandt, OH	
Brandy Station, VA	
Brandywine Bay, NC	
Brandywine, MD	214
Branford Center, CT	298
Bransford, TN	
Branson, MO	194
Brant, NY	
Brantleyville, AL	
Braselton, GA	190
Brashear, MO	
Brasher, NY	
Brass Castle, NJ	160
Braswell, GA	
Bratenahl, OH	225
Brawley, CA	186
Braxton, MS	
Bray, OK	
Braymer, MO	
Brazil, IN	75
Brazoria, TX	136
Brazos Bend, TX	210
Brazos Country, TX	189
Brazos, TX	
Brea, CA	509
Breathedsville, MD	
Breaux Bridge, LA	151
Breckenridge Hills, MO	68
Breckenridge, CO	898
Breckenridge, MI	99
Breckenridge, MN	
Breckenridge, MO	
Brecksville, OH	176
Brecon, OH	
Breda, IA	
Breese, IL	86
Breesport, NY	
Breezy Point, MN	286
Breinigsville, PA	224
Bremen, GA	156
Bremen, IN	113
Bremen, KY	
Bremen, OH	96
Bremerton, WA	269
Bremond, TX	
Brenham, TX	161
Brent, AL	81
Brent, FL	150
Brent, OK	
Brentsville, VA	
Brentwood, CA	347
Brentwood, MD	335
Brentwood, MO	231
Brentwood, NY	300
Brentwood, PA	139
Brentwood, TN	326
Bressler, PA	135
Bret Harte, CA	281
Brevard, NC	279
Brewer, ME	112
Brewerton, NY	188
Brewster Heights, NY	
Brewster Hill, NY	213
Brewster, MA	496
Brewster, MN	
Brewster, NY	235
Brewster, OH	
Brewton, AL	124
Brian Head, UT	379
Briar Chapel, NC	245
Briar Creek, PA	
Briar, TX	228
Briarcliff Manor, NY	332
Briarcliff, AR	
Briarcliff, TX	304
Briarcliffe Acres, SC	268
Briaroaks, TX	
Briartown, OK	
Briarwood Estates, MO	170
Briarwood, KY	
Brice Prairie, WI	229
Brice, OH	174
Brices Creek, NC	178
Briceville, TN	
Brick Center, CO	
Brickerville, PA	234
Bridge City, LA	131
Bridge City, TX	125
Bridge Creek, OK	
Bridgehampton, NY	
Bridgeport, AL	78
Bridgeport, CT	189
Bridgeport, KS	
Bridgeport, MI	60
Bridgeport, NJ	
Bridgeport, NY	150
Bridgeport, OH	49
Bridgeport, PA	201
Bridgeport, TX	133
Bridgeport, WA	245
Bridger, MT	
Bridgeton, MO	114
Bridgeton, NC	176
Bridgeton, NJ	134
Bridgetown, MS	168
Bridgetown, OH	141
Bridgeview, IL	179
Bridgeville, NJ	
Bridgeville, PA	176
Bridgewater Center, NJ	337
Bridgewater Town, MA	302
Bridgewater, CT	
Bridgewater, MA	277
Bridgewater, NJ	313
Bridgewater, NY	
Bridgewater, PA	138
Bridgewater, SD	
Bridgewater, VA	153
Bridgman, MI	165
Bridgton, ME	
Brielle, NJ	391
Brier, WA	511
Brigantine, NJ	403
Briggs, OK	
Briggsdale, CO	102
Brigham City, UT	169
Bright, IN	154
Brighton, AL	
Brighton, CO	214
Brighton, IA	89
Brighton, IL	82
Brighton, MI	226
Brighton, NY	288
Brighton, TN	168
Brighton, UT	832
Brightwaters, NY	315
Brightwood, VA	
Brilliant, OH	125
Brillion, WI	126
Brimfield, IL	98
Brimfield, MA	249
Brimfield, OH	214
Brinckerhoff, NY	160
Bringhurst, IN	
Brinson, GA	
Briny Breezes, FL	
Brisbane, CA	833
Brisbin, PA	
Bristol, CT	162
Bristol, IN	
Bristol, MD	
Bristol, NH	200
Bristol, NY	229
Bristol, PA	232
Bristol, RI	293
Bristol, TN	135
Bristol, TX	
Bristol, VA	143
Bristol, WI	245
Bristow Cove, AL	
Bristow, OK	154
Bristow, VA	210
Brittany Farms-the Highlands, PA	206
Britton, MI	137
Broad Brook, CT	188
Broad Creek, NC	173
Broadalbin, NY	106
Broadland, SD	
Broadlands, IL	94
Broadlands, VA	270
Broadmoor, CA	907
Broadview Heights, OH	145
Broadview Park, FL	347
Broadview, IL	187
Broadview, MT	184
Broadview, NM	71
Broadway, NC	208
Broadway, NJ	
Broadway, VA	214
Broadwell, IL	
Brock Hall, MD	213
Brockport, NY	119
Brockton, MA	289
Brocton, NY	38
Brodhead, WI	173
Brodheadsville, PA	
Broeck Pointe, KY	
Brogan, OR	
Brogden, NC	142
Brokaw, WI	
Broken Arrow, OK	148
Bromley, KY	94
Bronson, FL	169
Bronson, IA	
Bronson, MI	117
Bronwood, GA	
Bronxville, NY	487
Brook Forest, CO	342
Brook Highland, AL	179
Brook Park, OH	154
Brook, IN	
Brookdale, CA	590
Brookdale, NJ	360
Brookdale, SC	105
Brookeville, MD	202
Brookfield Center, CT	245
Brookfield Center, OH	141
Brookfield Ma, MA	226
Brookfield, IL	202
Brookfield, MA	125
Brookfield, NJ	
Brookfield, NY	
Brookfield, WI	205
Brookford, NC	
Brookhaven, GA	279
Brookhaven, MS	83
Brookhaven, NY	
Brookhaven, PA	217
Brookings, OR	293
Brookings, SD	190
Brookland, AR	134
Brooklawn, NJ	177
Brooklet, GA	149
Brookline, MA	708
Brooklyn Center, MN	174
Brooklyn Heights, MO	
Brooklyn Heights, OH	
Brooklyn Park, MD	208
Brooklyn Park, MN	170
Brooklyn, CT	135
Brooklyn, IL	
Brooklyn, IN	
Brooklyn, MI	197
Brooklyn, OH	135
Brooklyn, WI	172
Brookmont, MD	497
Brookneal, VA	30
Brookport, IL	22
Brookridge, FL	154
Brooks Mill, PA	
Brooks, GA	153
Brooks, KY	
Brooks, OR	349
Brooksburg, IN	
Brookshire, TX	150
Brookside Village, TX	
Brookside, AL	44
Brookside, CO	147
Brookside, DE	194
Brookside, NJ	
Brookside, OH	185
Brookston, TX	
Brooksville, FL	183
Brooksville, KY	35
Brooksville, OK	
Brooktondale, NY	
Brooktrails, CA	
Brookview, MD	
Brookville, IN	168
Brookville, KS	
Brookville, NY	
Brookville, OH	144
Brookwood, AL	107
Broomall, PA	251
Broome, NY	
Broomes Island, MD	65
Broomfield, CO	257
Brooten, MN	
Broseley, MO	
Brothertown, WI	
Broussard, LA	157
Brown Deer, WI	186
Brown Station, MD	
Brownfields, LA	72
Brownlee Park, MI	
Browns Lake, WI	167
Browns Mills, NJ	205
Browns Point, WA	418
Brownsboro Farm, KY	162
Brownsboro Village, KY	
Brownsboro, TX	104
Brownsburg, IN	158
Brownsdale, FL	250
Brownsdale, MN	
Brownstown, IN	110
Brownstown, PA	
Brownsville, FL	331
Brownsville, KY	58
Brownsville, LA	
Brownsville, MD	
Brownsville, MN	
Brownsville, OH	
Brownsville, OR	194
Brownsville, PA	151
Brownsville, TN	125
Brownsville, TX	145
Brownsville, WI	
Brownton, MN	
Browntown, PA	78
Browntown, WI	93
Brownville, NJ	283
Brownville, NY	
Brownwood, TX	119
Broxton, GA	
Brucetown, VA	
Bruceville-Eddy, TX	
Bruceville, IN	
Bruin, PA	
Brundidge, AL	117
Bruneau, ID	
Brunersburg, OH	
Bruni, TX	
Brunswick Station, ME	218
Brunswick, GA	134
Brunswick, MD	177
Brunswick, ME	218
Brunswick, NY	155
Brunswick, OH	167
Brush Prairie, WA	351
Brush, CO	151
Brushton, NY	
Brushy Creek, TX	228
Brushy, OK	
Brusly, LA	
Brussels, IL	
Brutus, NY	189
Bryan, TX	180
Bryans Road, MD	185
Bryant, AR	140
Bryant, IL	
Bryant, OK	
Bryant, SD	
Bryant, WA	345
Bryantown, MD	
Bryn Athyn, PA	
Bryn Mawr-Skyway, WA	381
Bryn Mawr, PA	337
Bryson City, NC	228
Buchanan, GA	184
Buchanan, MI	43
Buchanan, NY	183
Buchanan, VA	64
Buchtel, OH	
Buck Creek, IN	
Buck Run, PA	
Buckeye Lake, OH	214
Buckeye, AZ	218
Buckeystown, MD	
Buckhall, VA	226
Buckhead, GA	178
Buckhorn, NM	
Buckhorn, PA	
Buckingham, FL	224
Buckingham, IL	
Buckland, MA	182
Buckland, OH	104
Buckley, MI	
Buckley, WA	286
Bucklin, KS	
Buckner, KY	166
Buckner, MO	199
Bucksport, SC	111
Bucoda, WA	206
Bucyrus, KS	156
Bucyrus, OH	67
Buda, IL	152
Buda, TX	216
Budd Lake, NJ	254
Buellton, CA	503
Buena Park, CA	555
Buena Vista, CA	
Buena Vista, MI	99
Buena, NJ	187
Buena, WA	
Buenaventura Lakes, FL	223
Buffalo Gap, TX	
Buffalo Grove, IL	193
Buffalo Prairie, IL	
Buffalo Soapstone, AK	276
Buffalo Springs, TX	173
Buffalo, IA	70
Buffalo, IL	
Buffalo, KY	
Buffalo, MN	193
Buffalo, MO	108
Buffalo, NY	103
Buffalo, OH	
Buffalo, SC	
Buffington, PA	
Buford, GA	196
Buford, SC	157
Bug Tussle, OK	150
Buhl, ID	169
Buhler, KS	64
Buies Creek, NC	
Bulger, PA	
Bull Creek, MO	
Bull Mountain, OR	330
Bull Run Mountain Estates, VA	209
Bull Run, VA	231
Bull Valley, IL	271
Bullard, TX	173
Bullhead City, AZ	195
Bulls Gap, TN	154
Bulpitt, IL	
Bulverde, TX	248
Bunceton, MO	
Buncombe, IL	
Bunk Foss, WA	374
Bunker Hill Village, TX	434
Bunker Hill, IL	99
Bunker Hill, IN	65
Bunker Hill, OR	228
Bunkerville, NV	
Bunn, NC	
Bunnell, FL	176
Bunnlevel, NC	55
Buras, LA	38
Burbank, CA	766
Burbank, IL	212
Burbank, OH	
Burbank, SD	
Burbank, WA	
Burchinal, IA	
Burden, KS	
Burdette, AR	
Bureau Junction, IL	
Burfordville, MO	
Burgaw, NC	178
Burgettstown, PA	131
Burgoon, OH	
Burien, WA	363
Burkburnett, TX	123
Burke Centre, VA	319
Burke, NY	
Burke, TX	
Burke, VA	311
Burket, IN	38
Burkettsville, OH	
Burkittsville, MD	
Burleigh, NJ	
Burleson, TX	177
Burley, ID	147
Burley, WA	165
Burlingame, CA	1,227
Burlingame, KS	72
Burlington Flats, NY	
Burlington Junction, MO	
Burlington, IA	75
Burlington, IL	184
Burlington, IN	10
Burlington, KY	167
Burlington, MA	374
Burlington, MI	
Burlington, NC	160
Burlington, NJ	154
Burlington, NY	
Burlington, OH	
Burlington, PA	
Burlington, VT	334
Burlington, WA	316
Burlington, WI	172
Burlington, WV	
Burlison, TN	
Burna, KY	
Burnett, WI	164
Burnettown, SC	104
Burney, CA	152
Burneyville, OK	67
Burnham Hills, MD	
Burnham, IL	
Burnham, PA	
Burns Harbor, IN	142
Burns, TN	243
Burnside, KY	
Burnside, PA	
Burnsville, MN	179
Burnt Mills, MD	241
Burnt Store Marina, FL	354
Burr Oak, MI	104
Burr Ridge, IL	255
Burrillville, RI	189
Burrows, IN	
Burrton, KS	
Burt, MI	174
Burton, IL	
Burton, MI	122
Burton, OH	
Burton, SC	206
Burton, TX	
Burtons Bridge, IL	
Burtonsville, MD	286
Burtts Crossing, MA	
Bush, IL	
Bushland, TX	186
Bushnell, FL	171
Bushnell, IL	
Bushong, KS	
