City ▾,State,County,Population,People per sq mi,August high (F),December high (F),Aug Hi Minus Dec Hi,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Average August humidity,Average December humidity,Average yearly humidity,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,,,,,,
Birmingham,Alabama,Jefferson County,212265,"1,453",90,55,35,56,112,213,1,72%,78%,73%,6,75,89,35,27.39%,"$31,217.00 ",$837.00 ,"$65,500.00 ",54,7%,24%,11%,26,21 mins,3.70%,2.00%,-1.90%,51.60%,44.30%,1.08%,69.85%,25.81%,3.50%,78.10%,14.50%,20.97%,7.90%,58.81%,11.00%
Bismarck,North Dakota,Burleigh County,70536,"2,091",82,26,56,19,87,202,46,55%,85%,70%,9,13,38,37,35.72%,"$57,660.00 ",$867.00 ,"$266,600.00 ",35,-2%,9%,54%,74,15 mins,2.10%,-1.60%,17.60%,22.70%,67.80%,N/A,2.66%,89.85%,2.30%,73.90%,20.80%,2.72%,7.08%,51.15%,63.70%
Blaine,Minnesota,Anoka County,62453,"1,897",80,27,53,32,113,194,54,74%,87%,77%,8,10,42,37,34.87%,"$73,496.00 ","$1,241.00 ","$263,500.00 ",26,7%,32%,25%,44,26 mins,3.10%,1.80%,12.70%,40.60%,50.20%,8.55%,5.90%,79.77%,4.10%,73.90%,20.80%,N/A,N/A,N/A,63.70%
Bloom,Illinois,Cook County,91247,"1,964",82,35,47,39,113,189,29,N/A,N/A,N/A,N/A,17,34,37,23.43%,"$48,238.00 ",$993.00 ,"$77,100.00 ",52,3%,19%,0%,63,30 mins,4.20%,-0.20%,0.80%,73.90%,20.80%,N/A,50.43%,34.52%,19.50%,74.70%,19.40%,9.82%,4.23%,81.60%,7.20%
Bloomingdale township,Illinois,DuPage County,112757,"3,308",83,35,48,38,122,189,33,N/A,N/A,N/A,N/A,28,37,38,N/A,"$67,478.00 ",N/A,"$299,800.00 ",39,2%,16%,6%,61,27 mins,3.30%,-0.20%,1.20%,53.10%,38.60%,N/A,N/A,N/A,20.00%,45.80%,49.60%,3.12%,8.38%,76.90%,28.50%
Bloomington,Illinois,McLean County,78426,"2,889",84,36,48,39,105,194,21,83%,78%,77%,9,29,30,34,48.23%,"$62,046.00 ",$836.00 ,"$153,800.00 ",38,0%,1%,0%,63,15 mins,4.00%,1.30%,4.80%,44.50%,45.80%,7.99%,10.40%,77.72%,6.10%,31.50%,58.10%,N/A,1.02%,89.14%,6.30%
Bloomington,Indiana,Monroe County,83636,"3,597",85,41,44,48,119,184,17,78%,81%,78%,6,18,45,23,55.90%,"$28,660.00 ",$917.00 ,"$198,700.00 ",35,11%,31%,37%,60,16 mins,4.40%,-1.70%,6.60%,58.50%,35.20%,10.18%,3.94%,81.90%,4.20%,51.60%,44.30%,1.08%,69.85%,25.81%,3.50%
Bloomington,Minnesota,Hennepin County,85417,"2,461",81,27,54,31,112,199,52,76%,87%,78%,8,12,48,42,41.94%,"$63,053.00 ","$1,178.00 ","$267,200.00 ",48,6%,33%,24%,36,21 mins,3.50%,1.80%,3.40%,63.10%,28.20%,5.36%,9.60%,75.33%,8.80%,22.70%,67.80%,N/A,2.66%,89.85%,2.30%
Bloomington City,Illinois,McLean County,78426,"2,876",84,36,48,39,105,193,21,N/A,N/A,N/A,N/A,13,28,34,48.23%,"$62,046.00 ",$836.00 ,"$151,000.00 ",38,-1%,3%,1%,63,15 mins,4.10%,1.30%,4.80%,44.50%,45.80%,7.99%,10.40%,77.72%,6.10%,40.60%,50.20%,8.55%,5.90%,79.77%,4.10%
Blue Springs,Missouri,Jackson County,54036,"2,417",87,41,46,43,99,212,13,76%,73%,74%,8,11,40,34,34.58%,"$63,850.00 ",$971.00 ,"$188,700.00 ",34,9%,37%,29%,59,26 mins,3.30%,1.40%,4.90%,55.50%,38.10%,1.64%,7.18%,85.79%,5.40%,73.90%,20.80%,N/A,50.43%,34.52%,19.50%
Boca Raton,Florida,Palm Beach County,93964,"3,246",91,77,14,60,141,231,0,73%,74%,72%,10,13,37,47,55.25%,"$71,867.00 ","$1,760.00 ","$341,500.00 ",36,8%,46%,23%,79,21 mins,3.00%,1.40%,10.40%,56.20%,40.90%,2.94%,4.53%,86.65%,13.00%,53.10%,38.60%,N/A,N/A,N/A,20.00%
Boise,Idaho,Ada County,220859,"2,640",90,38,52,13,87,206,18,30%,76%,54%,6,16,34,36,41.57%,"$49,209.00 ",$957.00 ,"$303,100.00 ",34,16%,66%,49%,32,18 mins,2.40%,N/A,7.00%,38.70%,47.90%,2.85%,1.89%,89.25%,8.70%,44.50%,45.80%,7.99%,10.40%,77.72%,6.10%
Bolingbrook,Illinois,Will County,74548,"3,029",82,35,47,39,122,187,30,80%,80%,77%,8,12,21,35,37.99%,"$78,230.00 ","$1,386.00 ","$231,500.00 ",34,3%,20%,6%,64,31 mins,3.90%,-0.20%,2.60%,49.90%,43.60%,11.48%,18.36%,50.98%,25.90%,58.50%,35.20%,10.18%,3.94%,81.90%,4.20%
Bonita Springs,Florida,Lee County,51890,"1,339",92,77,15,54,117,271,0,74%,76%,73%,8,25,47,56,37.35%,"$53,530.00 ","$1,295.00 ","$330,400.00 ",22,2%,39%,43%,72,22 mins,3.20%,1.90%,19.70%,37.90%,58.10%,1.11%,2.82%,90.05%,25.90%,63.10%,28.20%,5.36%,9.60%,75.33%,8.80%
Bossier City,Louisiana,Bossier County,67511,"1,553",94,58,36,52,90,213,1,66%,79%,73%,6,37,64,33,22.92%,"$47,103.00 ",$955.00 ,"$161,900.00 ",38,0%,7%,11%,38,17 mins,4.70%,0.30%,11.80%,25.40%,71.20%,2.39%,27.89%,65.62%,8.90%,44.50%,45.80%,7.99%,10.40%,77.72%,6.10%
Boston,Massachusetts,Suffolk County,669158,"13,844",81,41,40,47,130,200,48,73%,75%,74%,8,37,35,32,49.74%,"$54,485.00 ","$1,620.00 ","$602,600.00 ",78,4%,43%,48%,43,30 mins,2.80%,4.30%,11.00%,78.40%,16.10%,9.67%,25.23%,52.82%,19.40%,55.50%,38.10%,1.64%,7.18%,85.79%,5.40%
Boulder,Colorado,Boulder County,106271,"4,042",86,45,41,18,88,245,71,44%,64%,55%,6,13,40,28,76.05%,"$58,062.00 ","$1,554.00 ","$738,400.00 ",42,6%,57%,70%,74,19 mins,2.30%,2.70%,9.50%,70.30%,22.00%,5.80%,1.20%,87.37%,9.30%,56.20%,40.90%,2.94%,4.53%,86.65%,13.00%
Bowie,Maryland,Prince George's County,58290,"3,041",86,47,39,44,107,201,15,75%,75%,74%,8,11,22,41,48.16%,"$106,396.00 ","$1,888.00 ","$352,600.00 ",34,2%,16%,0%,51,36 mins,3.50%,-0.60%,7.30%,88.10%,8.40%,5.14%,53.23%,34.48%,6.90%,38.70%,47.90%,2.85%,1.89%,89.25%,8.70%
Bowling Green,Kentucky,Warren County,64302,"1,660",89,48,41,50,114,207,6,77%,79%,77%,6,20,64,27,32.56%,"$34,036.00 ",$778.00 ,"$180,900.00 ",34,5%,29%,25%,50,17 mins,4.90%,2.60%,14.00%,35.00%,59.20%,4.92%,12.80%,74.79%,6.90%,49.90%,43.60%,11.48%,18.36%,50.98%,25.90%
Boynton Beach,Florida,Palm Beach County,74483,"4,610",90,77,13,61,143,230,0,74%,74%,73%,10,38,60,42,29.45%,"$44,973.00 ","$1,501.00 ","$254,200.00 ",34,8%,49%,19%,77,25 mins,3.60%,1.40%,10.20%,56.20%,40.90%,2.47%,30.32%,63.34%,15.80%,37.90%,58.10%,1.11%,2.82%,90.05%,25.90%
Brandon,Florida,Hillsborough,113124,"3,417",91,73,18,51,110,245,0,76%,75%,73%,6,28,52,36,31.83%,"$56,012.00 ","$1,271.00 ","$212,800.00 ",25,8%,61%,38%,51,26 mins,3.40%,2.30%,13.60%,51.00%,44.20%,5.26%,18.64%,68.75%,26.00%,25.40%,71.20%,2.39%,27.89%,65.62%,8.90%
Bremen,Illinois,Cook County,110567,"2,930",82,36,46,39,123,189,31,76%,76%,75%,7,12,31,38,23.85%,"$55,462.00 ","$1,117.00 ","$156,100.00 ",47,3%,18%,0%,51,31 mins,4.20%,-0.20%,1.60%,73.90%,20.80%,2.94%,33.36%,58.81%,14.90%,78.40%,16.10%,9.67%,25.23%,52.82%,19.40%
Brentwood,California,Contra Costa County,58828,"3,959",90,55,35,15,57,260,0,48%,70%,59%,5,14,33,38,33.12%,"$88,697.00 ","$2,156.00 ","$591,100.00 ",15,5%,41%,39%,66,43 mins,3.50%,1.40%,27.10%,67.50%,24.50%,10.68%,8.62%,63.33%,23.60%,70.30%,22.00%,5.80%,1.20%,87.37%,9.30%
Brentwood,New York,Suffolk County,63115,"5,755",81,43,38,46,111,204,26,73%,73%,73%,11,22,37,32,13.86%,"$69,214.00 ","$1,469.00 ","$305,600.00 ",54,6%,20%,9%,67,26 mins,3.80%,N/A,15.10%,44.60%,51.50%,1.98%,14.92%,60.67%,66.70%,88.10%,8.40%,5.14%,53.23%,34.48%,6.90%
Brick,New Jersey,Ocean County,75118,"2,921",83,46,37,48,110,206,20,77%,75%,76%,10,8,23,45,29.87%,"$69,063.00 ","$1,453.00 ","$267,700.00 ",41,1%,18%,-3%,73,32 mins,3.20%,N/A,-1.00%,31.50%,64.70%,1.81%,2.49%,91.24%,9.80%,35.00%,59.20%,4.92%,12.80%,74.79%,6.90%
Bridgeport,Connecticut,Fairfield County,147586,"9,188",82,43,39,47,116,175,30,N/A,N/A,N/A,N/A,42,38,33,18.78%,"$41,204.00 ","$1,163.00 ","$173,200.00 ",70,4%,20%,-8%,60,28 mins,5.30%,-0.30%,3.50%,57.90%,38.00%,3.40%,35.09%,40.43%,39.20%,56.20%,40.90%,2.47%,30.32%,63.34%,15.80%
Bristol,Connecticut,Hartford County,60498,"2,291",82,40,42,55,107,188,35,76%,77%,75%,7,12,31,40,26.55%,"$60,208.00 ","$1,027.00 ","$196,800.00 ",54,1%,7%,-5%,69,23 mins,4.00%,N/A,0.10%,59.10%,36.40%,1.47%,5.42%,83.60%,14.70%,51.00%,44.20%,5.26%,18.64%,68.75%,26.00%
Bristol,Pennsylvania,Bucks County,54036,"3,386",84,44,40,48,119,205,12,74%,76%,74%,7,10,34,38,22.73%,"$57,128.00 ","$1,028.00 ","$201,600.00 ",59,4%,16%,6%,53,26 mins,4.00%,0.40%,-1.80%,48.40%,47.60%,1.56%,10.19%,79.01%,9.30%,73.90%,20.80%,2.94%,33.36%,58.81%,14.90%
Brockton,Massachusetts,Plymouth County,95161,"4,461",82,42,40,50,123,204,46,75%,76%,75%,7,52,38,35,18.64%,"$48,569.00 ","$1,111.00 ","$292,500.00 ",61,4%,49%,31%,70,30 mins,4.00%,4.10%,1.40%,50.00%,42.50%,2.01%,45.59%,36.12%,10.60%,67.50%,24.50%,10.68%,8.62%,63.33%,23.60%
Broken Arrow,Oklahoma,Tulsa County,106264,"1,720",93,50,43,42,78,228,5,67%,70%,71%,9,13,30,36,33.20%,"$66,250.00 ","$1,037.00 ","$167,400.00 ",28,5%,21%,22%,48,20 mins,2.90%,2.70%,12.20%,35.60%,58.40%,3.99%,4.19%,77.28%,7.40%,44.60%,51.50%,1.98%,14.92%,60.67%,66.70%
Brookhaven,New York,Suffolk County,487731,"1,880",81,44,37,48,111,206,28,75%,73%,74%,12,48,53,39,32.58%,"$86,828.00 ","$1,771.00 ","$353,000.00 ",43,6%,24%,8%,73,33 mins,3.80%,N/A,1.60%,44.60%,51.50%,4.51%,5.98%,85.06%,15.40%,31.50%,64.70%,1.81%,2.49%,91.24%,9.80%
Brookline,Massachusetts,Norfolk County,59246,"8,777",81,41,40,47,131,201,49,73%,75%,74%,8,11,20,34,83.47%,"$93,640.00 ","$2,268.00 ","$949,300.00 ",78,4%,40%,45%,49,29 mins,2.60%,4.30%,2.20%,60.30%,32.60%,17.33%,3.25%,71.98%,5.90%,57.90%,38.00%,3.40%,35.09%,40.43%,39.20%
Brooklyn,New York,Kings (Brooklyn) County,2635121,"37,211",83,44,39,46,118,226,25,73%,74%,73%,10,39,32,34,N/A,"$46,958.00 ",N/A,"$765,100.00 ",78,6%,26%,26%,29,42 mins,4.70%,N/A,6.80%,79.50%,17.50%,N/A,N/A,N/A,19.30%,59.10%,36.40%,1.47%,5.42%,83.60%,14.70%
Brooklyn Park,Minnesota,Hennepin County,79462,"3,047",81,27,54,32,110,193,55,74%,87%,77%,8,25,43,33,30.33%,"$62,656.00 ","$1,083.00 ","$241,600.00 ",38,7%,35%,25%,38,26 mins,3.60%,1.80%,7.90%,63.10%,28.20%,18.78%,29.08%,45.35%,6.20%,48.40%,47.60%,1.56%,10.19%,79.01%,9.30%
Brownsville,Texas,Cameron County,182083,"1,376",93,71,22,28,73,223,0,67%,73%,71%,11,20,52,30,18.88%,"$32,288.00 ",$736.00 ,"$88,000.00 ",27,7%,22%,18%,77,20 mins,6.10%,N/A,7.40%,64.50%,32.00%,N/A,N/A,95.54%,93.90%,50.00%,42.50%,2.01%,45.59%,36.12%,10.60%
Bryan,Texas,Brazos County,81743,"1,789",96,63,33,40,86,215,0,66%,76%,74%,7,25,42,30,26.58%,"$39,231.00 ",$915.00 ,"$177,600.00 ",32,4%,40%,47%,60,16 mins,3.00%,3.60%,11.20%,34.40%,57.60%,1.95%,17.02%,71.97%,39.30%,35.60%,58.40%,3.99%,4.19%,77.28%,7.40%
Buckeye,Arizona,Maricopa County,62090,158,105,66,39,9,29,295,0,31%,41%,29%,5,8,29,33,19.99%,"$58,703.00 ","$1,246.00 ","$225,200.00 ",12,7%,47%,40%,66,31 mins,6.10%,3.30%,41.40%,44.80%,47.70%,2.30%,8.20%,73.41%,35.70%,44.60%,51.50%,4.51%,5.98%,85.06%,15.40%
Buena Park,California,Orange County,83020,"7,892",85,68,17,14,32,277,0,65%,56%,62%,5,16,42,35,30.51%,"$68,884.00 ","$1,662.00 ","$592,100.00 ",54,4%,35%,29%,49,30 mins,3.50%,0.60%,4.10%,50.90%,42.30%,32.40%,2.88%,48.43%,40.00%,60.30%,32.60%,17.33%,3.25%,71.98%,5.90%
Buffalo,New York,Erie County,259574,"6,429",79,37,42,39,164,155,85,77%,84%,80%,9,56,61,32,27.64%,"$31,668.00 ",$776.00 ,"$85,300.00 ",78,11%,46%,55%,69,20 mins,5.90%,1.00%,-2.40%,50.90%,44.50%,5.86%,36.53%,47.11%,11.30%,79.50%,17.50%,N/A,N/A,N/A,19.30%
Burbank,California,Los Angeles County,104765,"6,051",87,67,20,17,37,286,0,58%,50%,56%,5,15,37,39,42.29%,"$66,111.00 ","$1,692.00 ","$839,900.00 ",58,5%,41%,35%,43,27 mins,5.70%,0.70%,2.00%,71.80%,22.40%,12.14%,3.03%,71.81%,24.50%,63.10%,28.20%,18.78%,29.08%,45.35%,6.20%
Burien,Washington,King County,50729,"5,043",77,46,31,39,151,152,5,70%,85%,78%,4,29,66,38,27.69%,"$52,140.00 ","$1,268.00 ","$421,400.00 ",53,6%,59%,32%,20,28 mins,3.60%,2.60%,54.90%,69.80%,21.00%,12.90%,8.31%,54.78%,24.30%,64.50%,32.00%,N/A,N/A,95.54%,93.90%
Burlington,North Carolina,Alamance County,52813,"1,798",88,52,36,45,109,212,3,73%,76%,73%,6,37,56,38,25.43%,"$37,316.00 ",$816.00 ,"$113,700.00 ",46,11%,30%,14%,49,20 mins,4.70%,1.10%,8.40%,41.90%,54.50%,3.26%,27.86%,56.22%,17.60%,34.40%,57.60%,1.95%,17.02%,71.97%,39.30%
Burnsville,Minnesota,Dakota County,61302,"2,469",80,26,54,32,106,199,45,76%,87%,78%,8,14,41,36,39.00%,"$63,997.00 ","$1,228.00 ","$284,700.00 ",35,6%,31%,23%,46,23 mins,3.30%,1.80%,1.00%,47.70%,43.10%,4.82%,13.81%,72.91%,9.10%,44.80%,47.70%,2.30%,8.20%,73.41%,35.70%
Caldwell,Idaho,Canyon County,51634,"2,325",91,39,52,11,80,211,8,29%,74%,51%,6,16,32,29,13.67%,"$41,368.00 ",$878.00 ,"$224,000.00 ",22,18%,71%,45%,24,23 mins,3.30%,N/A,18.00%,23.20%,64.90%,1.05%,N/A,73.21%,36.50%,50.90%,42.30%,32.40%,2.88%,48.43%,40.00%
Calumet,Indiana,Lake County,100631,"1,639",81,36,45,38,119,188,35,N/A,N/A,N/A,N/A,47,81,38,14.73%,"$31,132.00 ",$808.00 ,"$103,000.00 ",61,6%,25%,16%,64,26 mins,5.00%,1.20%,-7.30%,57.70%,37.30%,N/A,64.14%,27.88%,8.20%,50.90%,44.50%,5.86%,36.53%,47.11%,11.30%
Camarillo,California,Ventura County,67116,"3,410",78,67,11,16,34,272,0,72%,59%,67%,6,13,25,42,41.69%,"$87,120.00 ","$2,006.00 ","$621,700.00 ",37,3%,26%,38%,56,24 mins,3.60%,1.00%,5.50%,54.60%,37.20%,10.41%,1.93%,78.12%,25.40%,71.80%,22.40%,12.14%,3.03%,71.81%,24.50%
Cambridge,Massachusetts,Middlesex County,110893,"17,346",81,41,40,48,133,201,50,73%,75%,74%,8,21,34,30,79.03%,"$75,909.00 ","$2,221.00 ","$807,200.00 ",77,3%,45%,51%,42,25 mins,2.00%,4.30%,7.10%,65.30%,27.60%,16.65%,10.73%,66.11%,8.80%,69.80%,21.00%,12.90%,8.31%,54.78%,24.30%
Camden,New Jersey,Camden County,75550,"8,472",86,46,40,46,123,204,13,73%,75%,73%,7,95,74,29,9.78%,"$26,201.00 ",$922.00 ,"$75,100.00 ",70,10%,19%,-8%,29,24 mins,7.90%,0.30%,-3.20%,64.10%,31.70%,2.41%,41.36%,23.45%,48.50%,41.90%,54.50%,3.26%,27.86%,56.22%,17.60%
Canton,Ohio,Stark County,71763,"2,781",81,37,44,39,146,169,39,77%,85%,79%,7,51,74,35,13.90%,"$29,980.00 ",$671.00 ,"$98,900.00 ",70,5%,24%,12%,36,20 mins,5.30%,0.10%,-3.60%,38.70%,55.80%,N/A,24.85%,67.07%,3.60%,47.70%,43.10%,4.82%,13.81%,72.91%,9.10%
Canton charter township,Michigan,Wayne County,90345,"2,502",81,35,46,33,138,180,43,N/A,N/A,N/A,N/A,12,21,39,N/A,"$82,243.00 ",N/A,"$270,900.00 ",28,6%,33%,37%,65,27 mins,6.50%,0.70%,2.70%,66.40%,29.30%,N/A,N/A,N/A,2.60%,23.20%,64.90%,1.05%,N/A,73.21%,36.50%
Cape Coral,Florida,Lee County,173679,"1,642",92,76,16,53,108,265,0,75%,76%,73%,7,10,28,45,23.34%,"$49,841.00 ","$1,244.00 ","$231,700.00 ",22,4%,48%,59%,69,27 mins,3.40%,1.90%,16.00%,37.90%,58.10%,1.80%,5.23%,89.47%,20.20%,57.70%,37.30%,N/A,64.14%,27.88%,8.20%
Capital,Illinois,Sangamon County,115987,"1,962",85,39,46,38,104,198,18,81%,77%,76%,8,34,46,38,35.91%,"$48,939.00 ",$805.00 ,"$115,400.00 ",48,0%,7%,13%,67,17 mins,3.90%,0.20%,1.20%,41.60%,50.80%,3.07%,19.97%,72.94%,2.70%,54.60%,37.20%,10.41%,1.93%,78.12%,25.40%
Carlsbad,California,San Diego County,113147,"2,997",75,64,11,12,38,263,0,71%,61%,67%,5,14,28,42,59.54%,"$87,416.00 ","$2,025.00 ","$875,000.00 ",30,4%,35%,51%,66,28 mins,3.40%,1.40%,13.40%,56.30%,36.60%,8.01%,N/A,84.90%,14.10%,65.30%,27.60%,16.65%,10.73%,66.11%,8.80%
Carmel,Indiana,Hamilton County,88595,"1,867",83,38,45,42,125,185,23,79%,81%,77%,8,7,18,39,70.62%,"$107,916.00 ","$1,207.00 ","$350,800.00 ",23,7%,28%,28%,64,24 mins,2.90%,2.50%,15.40%,36.70%,56.00%,10.28%,2.73%,83.44%,3.20%,64.10%,31.70%,2.41%,41.36%,23.45%,48.50%
Carmichael,California,Sacramento County,65091,"4,839",92,54,38,20,60,266,0,46%,69%,58%,4,20,39,42,33.50%,"$54,598.00 ","$1,178.00 ","$416,700.00 ",46,5%,40%,49%,31,26 mins,4.10%,1.40%,5.30%,58.00%,33.80%,4.90%,4.31%,79.86%,13.20%,38.70%,55.80%,N/A,24.85%,67.07%,3.60%
Carrollton,Texas,Denton County,131240,"3,587",96,57,39,38,75,230,1,57%,69%,67%,8,10,31,36,39.19%,"$69,282.00 ","$1,236.00 ","$285,800.00 ",31,7%,42%,51%,51,25 mins,3.10%,3.30%,11.50%,37.10%,57.10%,15.09%,10.10%,69.00%,33.50%,66.40%,29.30%,N/A,N/A,N/A,2.60%
Carson,California,Los Angeles County,92927,"4,963",80,66,14,14,34,280,0,70%,58%,65%,6,20,35,38,28.27%,"$71,420.00 ","$1,524.00 ","$553,500.00 ",52,5%,40%,27%,50,27 mins,5.30%,0.70%,1.80%,71.80%,22.40%,26.66%,23.81%,27.01%,37.90%,37.90%,58.10%,1.80%,5.23%,89.47%,20.20%
Carson City,Nevada,Carson City County,54219,375,90,46,44,9,43,253,17,34%,73%,55%,5,22,42,43,22.17%,"$50,108.00 ",$940.00 ,"$325,800.00 ",35,14%,77%,36%,72,18 mins,4.10%,3.30%,-2.10%,38.40%,52.50%,2.67%,2.05%,82.00%,23.40%,41.60%,50.80%,3.07%,19.97%,72.94%,2.70%
Cary,North Carolina,Wake County,159715,"2,788",88,53,35,46,107,213,4,73%,75%,73%,6,8,19,39,67.81%,"$91,481.00 ","$1,246.00 ","$370,600.00 ",21,7%,33%,30%,56,22 mins,3.30%,3.00%,25.20%,57.40%,37.20%,18.70%,8.52%,67.44%,8.10%,56.30%,36.60%,8.01%,N/A,84.90%,14.10%
Casa Grande,Arizona,Pinal County,52501,475,105,67,38,9,32,295,0,33%,42%,30%,6,27,51,36,16.31%,"$44,719.00 ",$957.00 ,"$179,300.00 ",17,10%,43%,41%,58,22 mins,6.20%,3.10%,22.00%,37.00%,56.20%,1.79%,3.45%,73.62%,42.10%,36.70%,56.00%,10.28%,2.73%,83.44%,3.20%
Casas Adobes,Arizona,Pima County,68919,"2,587",99,66,33,12,48,285,0,N/A,N/A,N/A,N/A,17,44,40,35.05%,"$56,164.00 ","$1,123.00 ","$230,800.00 ",31,7%,32%,8%,60,23 mins,5.30%,2.00%,1.80%,53.30%,39.70%,3.45%,2.24%,82.60%,26.20%,58.00%,33.80%,4.90%,4.31%,79.86%,13.20%
Casper,Wyoming,Natrona County,59171,"2,230",87,36,51,13,79,220,70,37%,77%,58%,10,11,42,35,25.07%,"$57,511.00 ",$851.00 ,"$201,200.00 ",45,2%,10%,12%,86,16 mins,3.90%,-1.40%,9.30%,19.70%,70.60%,N/A,1.44%,94.20%,8.80%,37.10%,57.10%,15.09%,10.10%,69.00%,33.50%
Castle Rock,Colorado,Douglas County,57274,"1,672",83,44,39,19,70,243,78,46%,61%,53%,7,9,23,34,48.23%,"$86,563.00 ","$1,536.00 ","$467,200.00 ",15,5%,50%,62%,81,29 mins,2.50%,2.80%,29.00%,36.60%,54.70%,1.82%,1.08%,91.38%,10.20%,71.80%,22.40%,26.66%,23.81%,27.01%,37.90%
Castro Valley,California,Alameda County,63625,"3,835",77,57,20,21,66,261,0,63%,68%,65%,5,16,31,41,44.87%,"$83,442.00 ","$1,791.00 ","$833,200.00 ",52,4%,42%,41%,63,34 mins,3.30%,1.40%,5.00%,78.10%,14.50%,27.29%,8.18%,53.24%,16.80%,38.40%,52.50%,2.67%,2.05%,82.00%,23.40%
Cathedral City,California,Riverside County,53733,"2,389",107,69,38,5,14,271,0,28%,44%,35%,6,13,30,37,21.65%,"$43,128.00 ","$1,193.00 ","$298,300.00 ",31,6%,40%,48%,75,20 mins,5.30%,2.20%,6.20%,49.70%,44.40%,6.15%,2.73%,75.61%,59.40%,57.40%,37.20%,18.70%,8.52%,67.44%,8.10%
Cedar Park,Texas,Williamson County,70010,"2,762",96,62,34,36,73,231,0,58%,69%,68%,8,12,23,35,50.11%,"$79,323.00 ","$1,408.00 ","$285,400.00 ",15,5%,44%,58%,65,27 mins,2.80%,3.50%,56.00%,41.30%,50.90%,9.55%,2.95%,80.59%,19.00%,37.00%,56.20%,1.79%,3.45%,73.62%,42.10%
Cedar Rapids,Iowa,Linn County,130330,"1,840",82,32,50,36,105,193,28,80%,80%,78%,9,19,53,36,32.05%,"$54,465.00 ",$767.00 ,"$132,000.00 ",45,0%,12%,12%,67,17 mins,3.10%,1.30%,3.90%,50.30%,41.30%,2.95%,7.80%,83.87%,3.80%,53.30%,39.70%,3.45%,2.24%,82.60%,26.20%
Centennial,Colorado,Arapahoe County,108448,"3,667",85,44,41,18,78,245,73,42%,59%,51%,7,13,20,41,57.34%,"$90,090.00 ","$1,740.00 ","$463,700.00 ",35,5%,56%,77%,54,25 mins,2.50%,2.80%,8.50%,52.80%,38.60%,5.23%,3.00%,86.16%,8.30%,19.70%,70.60%,N/A,1.44%,94.20%,8.80%
Center township (Delaware Cnty),Indiana,Delaware County,68161,"1,977",82,37,45,40,126,182,22,N/A,N/A,N/A,N/A,26,54,28,N/A,"$30,415.00 ",N/A,"$60,800.00 ",58,12%,23%,10%,65,19 mins,4.30%,1.10%,-1.60%,39.90%,53.30%,N/A,N/A,N/A,3.10%,36.60%,54.70%,1.82%,1.08%,91.38%,10.20%
Center township (Marion Cnty),Indiana,Marion County,148231,"3,542",83,38,45,42,121,187,22,N/A,N/A,N/A,N/A,47,80,33,N/A,"$27,718.00 ",N/A,"$87,400.00 ",76,10%,43%,27%,50,22 mins,3.60%,2.50%,1.30%,58.00%,35.50%,N/A,N/A,N/A,9.00%,78.10%,14.50%,27.29%,8.18%,53.24%,16.80%
Centreville,Virginia,Fairfax County,74627,"6,249",86,46,40,43,120,199,22,72%,76%,73%,6,17,39,36,58.20%,"$103,696.00 ","$1,870.00 ","$410,600.00 ",27,3%,12%,10%,47,33 mins,2.30%,2.00%,3.10%,64.40%,28.60%,29.12%,7.68%,54.39%,14.90%,49.70%,44.40%,6.15%,2.73%,75.61%,59.40%
Cerritos,California,Los Angeles County,50145,"5,749",83,67,16,14,32,283,0,65%,56%,62%,5,15,55,45,52.92%,"$91,487.00 ","$2,410.00 ","$735,400.00 ",44,4%,28%,25%,50,33 mins,4.10%,0.70%,1.40%,71.80%,22.40%,59.14%,8.64%,19.82%,12.80%,41.30%,50.90%,9.55%,2.95%,80.59%,19.00%
Champaign,Illinois,Champaign County,85710,"3,754",83,37,46,41,111,194,20,83%,78%,77%,9,37,42,27,49.51%,"$42,077.00 ",$952.00 ,"$139,800.00 ",39,2%,10%,5%,61,15 mins,4.40%,2.20%,7.90%,54.70%,36.40%,13.25%,18.57%,64.20%,6.40%,50.30%,41.30%,2.95%,7.80%,83.87%,3.80%
Champaign City,Illinois,Champaign County,85710,"3,795",83,37,46,41,111,195,20,N/A,N/A,N/A,N/A,14,29,27,49.51%,"$42,077.00 ",$952.00 ,"$145,900.00 ",39,3%,13%,7%,61,15 mins,4.20%,2.20%,7.90%,54.70%,36.40%,13.25%,18.57%,64.20%,6.40%,52.80%,38.60%,5.23%,3.00%,86.16%,8.30%
Chandler,Arizona,Maricopa County,245160,"3,773",104,66,38,9,35,297,0,31%,41%,30%,5,13,34,35,44.71%,"$72,072.00 ","$1,312.00 ","$319,200.00 ",22,8%,38%,41%,56,24 mins,4.20%,3.30%,6.80%,44.80%,47.70%,10.73%,5.61%,74.36%,21.80%,39.90%,53.30%,N/A,N/A,N/A,3.10%
